id,question,answer1,isCorrect1,answer2,isCorrect2,answer3,isCorrect3,answer4,isCorrect4,answer5,isCorrect5,answer6,isCorrect6,answer7,isCorrect7,answer8,isCorrect8
30,Ktorý názov a vzorec predstavuje tú istú zlúčeninu?,Mn(PO2)2 dioxofosforitan horečnatý ,0,Cz2H2SiO4 dihydrogéntetraoxokremičitan cézny,0,Ca(H2PO2)2 dihydrogénfosfornan vápenatý ,1,Al(HSiO3)3 hydrogénoxokremičitan hlinitý,1,Mg(H2PO4)2 dihydrogéntetraoxofosforečnan horečnatý,1,Ca(AsO2)2 bis(arzenitan) vápenatý ,1,BeHSe hydrogénselenid berylnatý ,0,(NH4)2ClO3 chloritan amónny ,0
31,Vyberte správne tvrdenie:,K3PO4 je fosforečnan draselný ,1,Pb(NO3)2 je dusitan olovnatý ,0,Ag2ClO3 je chlorečnan strieborný ,0,H2Si2O5 je kyselina dihydrogéndikremičitá ,1,Fe(SCN)2 je tiokyanatan železitý ,0,Ca2Al(OH)7 . H2O je hydrát heptahydroxidu divápenato-hlinitého,1,BaMnO4 je manganistan bárnatý ,0,Ca5F(PO4)3 je fluorid-tris(fosforečnan) pentavápenatý ,1
32,Vyberte nesprávne tvrdenie:,NaKNO3 je dusičnan sodno-draselný ,1,HgCl2 je dichlorid ortuťný ,1,NH4ReO4 je renistan amónny ,0,KSCN je rodanid draselný ,0,K[Cr(OH)4] je hydroxid chromito-draselný ,1,(NH4)2WO4 je volframan amónny,0,BaO2 je oxid baričitý ,1,CaSi2O5 je dikremičitan vápenatý ,0
33,Určte nesprávne (chybne) pomenované zlúčeniny:,LiHCO3 je hydrogénuhličitan litný ,0,BaH2P2O7 je dihydrogéndifosforečnan barnatý ,0,CaHPO3 je hydrogénfosfornan vápenatý,1,Na2S2O7 je peroxosíran sodný ,1,Na2S2O5 je disiričitan sodný ,0,KCr(SO4)2 . 12 H2O je dekahydrát síranu chromitodraselného ,1,Na2S2O8 je peroxodisíran sodný ,0,Na2S2O3 je disíran sodný ,1
34,"Vyberte odpovede, kde vzorce neodpovedajú uvedeným zlučeninám:",H3BrO3 je kyselina trihydrogénboritá ,1,K3[Fe(CN)5(CO)] je karbonyl-pentakyanoželeznatan draselný ,0,NaBO2 . H2O2 je peroxohydrát boritanu sodného ,0,NaSO5 je peroxosíran sodný ,1,NH4[AgF4] je tetrafluorostriebornan amónny ,1,H3BO3 je kyselina trioxoboritá ,0,Li2[AlH4] je tetrahydridohlinitan litný ,1,As(HSeO3)3 je hydrogénseleničitan arzenitý ,0
35,Vyberte správne pomenované koordinačné zlúčeniny:,[Ni(NH3)6]Cl2 je chlorid hexaamminnikelnatý ,1,[Co(H2O)6](NO3)2 je dusitan hexaakvakobaltnatý ,0,(NH4)3[Co(NO2)6] je hexanitrokobaltnatan amónny,0,[Ni(H2O)6](ClO4)2 je chloristan hexaakvanikelnatý ,1,(NH4)3[Fe(CN)5CO] je karbonyl-pentakyanoželezitan amónny ,0,Na[CdBr3] je tribromokademnatan sodný ,1,[Cu Cl2(H20)2] je diakva-dichloromeďnatý komplex,1,[Al(H2O)3(OH)3] je hydroxid triakvahlinitý ,0
36,"Vyberte vzorce, ktoré neodpovedajú uvedeným názvom zlučenín:",HAuCl4 kyselina tetrachlórozlatitá ,0,Ca(AsO3)2 je arzenitan vápenatý ,1,BN je nitrid boritý ,0,Na2B4O7 . 10 H2O je dodekahydrát tetraboritanu sodného ,1,H5IO6 je kyselina pentahydrogén jodičná ,1,(NH4)2U2O7 je diuranan amónny ,0,SiC je silan ,1,K2Cu(SO4)2 . 6 H2O je hexahydrát síranu draselnomeďnatého ,0
37,Vyberte správne pomenovania v vzorce zlúčenín:,CaH3 je hydrid vápenatý ,0,SiCl4 je chlorid kremičitý ,1,Mg2Si je silicid horečnatý ,1,KO3 je hyperoxid draselný ,0,SiH2 je silán,0,SiC je karbid kremičitý ,1,Cl2O je chlorid kyslíka ,0,Li2Se je selenid lítny ,1
38,Zlúčnina s chemickým vzorcom [Pt(NH3)6](OH)4: ,má koordinačné číslo 6,1,obsahuje ligandy s názvom ammino a hydroxo,0,obsahuje záporne nabité ligandy,0,centrálny atóm má oxidačné číslo +II,0,centrálny atóm má oxidačné číslo +IV ,1,má komplexný katión ,1,je hydroxid,1,je hexaammin-tetrahydroxo-platnatan,0
39,V zlúčenine [PtCl2(NH3)2]SO4:,NH3 a Cl- sú ligandy ,1,centrálny atóm má oxidačné číslo +ll,0,koordinačné číslo je 4,1,centrálnym atómom je Pt ,1,komplexný katión má nábojové číslo +1 ,0,donorom elektrónov je len chlór ,0,donorom elektrónov je aj voľný elektrónový pár na dusíku ,1,akceptorom elektrónov je voľný elektrónový orbitál na dusíku ,0
40,Hydrát chloridu pentaammin-chloro-platičitého:,obsahuje komplexný katión s nábojovým číslom +3,1,má vodu ako ligand,0,obsahuje 5 elektroneutrálnych ligandov ,1,má vo svojej molekule 4 atómy chlóru ,1,má koordinačné číslo 5 ,0,anión tvorí 1 atóm chlóru ,0,centrálny atóm má oxidačné číslo +IV ,1,má chemický vzorec [Pt(NH3)5(H2O]Cl4,0
41,Diammin-tetranitráto-kobaltitan draselný:,má vzorec K3[Co(NH3)2(NO3)4],0,má koordinačné číslo 6,1,obsahuje 3 atómy K,0,má vzorec K[Co(NH3)2(NO2)4],0,obsahuje elektroneutrálny ligand,1,má vzorec K[Co(NH3)2(NO3)4],1,obsahuje 1 atóm draslíka ,1,je dusičnan s komplexným katiónom ,0
42,V koordinačnej zlúčenine so vzorcom [CrBr2(H2O)4]NO2:,je Cr centrálny atóm ,1,komplexný katión má nábojové číslo +1,1,"koordinačné číslo je 2, ak je donorom elektrónov Br",0,"koordinačné číslo je 4, ak je donorom elektrónov H2O",0,Br- a H2O sú ligndy ,1,centrálny atóm má oxidačné číslo +IV ,0,sú 4 molekuly kryštalicky viazanej vody ,0,anión je dusitan ,1
43,Vyberte elektroneutrálne ligandy:,karbonyl,1,nitorzyl,1,fosforyl,0,ammin,1,aqua,1,sulfuryl,0,chlorid,0,kyanid ,0
44,Ktoré zlúčeniny obsahujú vo svojej molekule anióny s oxidačným číslom -II?,NaBrO,0,KMnO4,0,K2S2O3,1,MgCr2O7,1,Mg3(PO3)2,0,BaTiO3,1,Ba3(AsO4)2,0,Na2S2O5,1
45,Vyberte správne pomenované zlúčeniny:,AgAsO3 je arsenitan strieborný ,0,Mn2(PO3)6 je fosforečnan manganatý,0,Mg(HSO4)2 je hydrogénsíričitan horečnatý ,0,(NH4)2Cr2O7 je dichróman amónny,1,CaS2O5 je disiričitan vápenatý ,1,BaMnO4 je manganan bárnatý ,1,CaClO2 je chlórnan vápenatý ,0,NH4ClO3 je chlorečnan amónny ,1
46,Ktoré z uvedených zlúčenín sú peroxidy?,KO2,0,Na2O2,1,KO3,0,H2O2,1,NaO2,0,HgO2,1,BaO2,1,BaO,0
47,"Vyberte tie prvky, ktoré sú často centrálnym atómom v komplexných zlúčeninaćh:",B ,0,Ca ,0,Pt ,1,S ,0,Co,1,Fe ,1,K,0,Ag ,1
48,Určte nesprávne (chybne) pomenované zlúčeniny:,Na2CO3 je sóda,0,K2CO3 je potaš,0,NaNO3 je kamenec ,1,KCr(SO4)2 . 12 H2O je karnalit,1,HgCl2 je kalomel,1,FeSO4 . 7 H2O je zelená skalica,0,NO2 je rajský plyn,1,HgS je rumelka,0
49,Vyberte správne tvrdenie:,ZnSO4 . 7 H2O je biela skalica ,1,PbS je sfalerit ,0,SiO2 je korund,0,KCl je sylvín,1,KCN je cyankáli ,1,FeS2 je chalkopyrit,0,Na3AlF6 je kryolit,1,KNO3 je čílsky liadok ,0
50,Vyberte správne tvrdenie:,mosadz je zliatina Cu a Zn,1,sadrovec je Ca(OH)2,0,hasené vápno je CaCO3 ,0,"alpaka je zliatina Ni,Zn a Cu",1,bronz je zliatina Sn a Cu ,1,amalgám je zliatina Sn a Pb ,0,salmiak je NH4Cl ,1,sadra je CaO,0
51,Medzi významné minerály alkalických kovov patria:,sylvín,1,kalcit,0,halit,1,čílsky liadok,1,kamenná soľ,1,aragonit,0,cinabarit,0,magnezit,0
52,Ktorý minerál neobsahuje niektorý z prvkov alkalických zemín?,magnezit,1,dolomit,0,beryl,1,baryt ,0,sylvín,1,apatit,0,bauxit,1,kazivec,0
53,Amalgány sú zliatiny ortuti:,so železom,0,s napr. meďou a zinkom ,1,"s kovmi, okrem triády železa ",1,s halogénmi ,0,s niektorými kovmi ,1,s napr. striebrom a zlatom ,1,s uhlíkom ,0,s kobaltom ,0
54,Vyberte správne pomenovania a zloženie jednotlivých zliatin:,"dural je zliatina Al, Cu, Mg ",1,"literína je tvorená z Sb, Sn, Pb",1,"mosadz tvoria Sn, Cu",0,"bronz tvoria Ni, Zn, Cu",0,"konštantán je zliatina tvorená Ni, Mn, Cu",1,"pružinovú oceľ tvoria Fe, C, Cr, Ni",0,"nehrdzavejúcu oceľ tvoria Fe, C, Cr",0,spájka je tvorená Pb a Sn,1
55,Vyberte správne pomenovania a vzorce jednotlivých zlúčenín:,cyankali KCN ,1,kryolit Na3[AlF6],1,kaolinit Al2(OH)4Si2O5 ,1,apatit Ca3(PO4)2,0,fosforit Ca5F(PO4)3,0,Mohrova soľ Fe(NH4)2(SO4)2 . 6 H2O ,1,červená krvná soľ K4[Fe(CN)6] ,0,žltá krvná soľ K3[Fe(CN)6] . 3 H2O ,0
56,Vyberte správne pomenovania a vzorce jednotlivých zlúčenín:,Na3[AlF6] hexafluorohlinitan disódny,0,AlK(SO4)2 . 12H2O dodekahydrát síranu draselno-hlinitého,1,Cu2CO3(OH)2 dihydroxid-uhličitan meďnatý,1,K[FeCl4] chlorid železito-draselný ,0,KFeCl4 tetrachloro-železitan draselný ,0,Fe(NH4)2(SO4)2 . 6H2O hexahydrát síranu diamónno-železnatého ,1,NaHS . H2O hydrogén sulfid sodný ,0,K2Rb[AgI4] tetraiodostriebornan draselno-rubídny ,1
57,Priraďte správne názvy respektíve vzorce k hydridom:,AlH3 arzán,0,Mg2H hydrid horečnatý ,0,BrH3 borán,0,KH hydrid draselný ,1,NaH2 hydrid sodný ,0,PH3 fosfán,1,H2S sulfán,1,SiH4 silán,1
58,Tetrachloro-platnatan tetraamín-dichlóroplatičitý:,obsahuje 10 elektroneutrálnych ligandov,0,má vzorec [PtCl2(NH3)4][PtCl4],1,má vzorec PdCl2(NH3)4[PdCl4],0,v anióne má centrálny atóm Pd,0,"obsahuje komplexný katión  s nábojovým číslom +II
",1,koordinačné číslo Pt komplexného aniónu je 4 ,1,má 6 atómov Cl vo svojej molekule ,1,má vzorec [PtCl4][PtCl2(NH3)4],0
59,Komplexná zlúčenina [Co(H2O)(NH3)3]2(SO4)3:,je síran akva-triamminkobaltitý ,1,je siričitan triammin-akvakobaltitý,0,obsahuje 6 ligandov viazaných na centrálny atóm ,0,obsahuje centrálny atóm síran,0,obsahuje kryštalicky viazanú molekulu vody,0,centrálny atóm má oxidačné číslo +III,1,je tvorená komplexným katiónom s nábojovým číslom +III,1,obsahuje 14 atómov kyslíka ,1
60,Komplexná zlúčenina hydrát chloridu pentaakva-chlorochromitého:,má vzorec [CrCl2(H2O)4]Cl . H2O ,0,má vzorec [CrCl2(H2O)]Cl . H2O ,0,centrálny atóm má koordinačné číslo 3,0,obsahuje aj kryštalicky viazanú molekulu vody,1,má vzorec Cl[CrCl(H2O)5] . H2O ,0,obsahuje anión s oxidačným číslom -I,1,má vzorec [CrCl(H2O)5]Cl2 . H2O ,1,obsahuje komplexný katión s nábojovým číslom +II ,1
61,Suspenzia je:,rovnorodá zmes rozpustenej tuhej látky rozptýlenej v kvapaline,0,aerosól,0,cigaretový dym,0,rôznorodá zmes nerozpustenej tuhej látky rozptýlenej v kvapaline,1,napr. zmes piesku a vody ,1,rôznorodá zmes nerozpustenej tuhej  látky rozptýlenej v plyne,0,aj napr. ovocný džús s vlákninou ,1,príkladom rôznorodej zmesi ,1
62,Emulzia je:,"rôznorodá zmes, ktorá vznikne rozptýlením rozpustenej kvapaliny v inej kvapaline ",0,rôznorodá zmes troch kvapalín ,0,"rôznorodá zmes kvapalín, ktorá vznikne rozptýlením nerozpustenej kvapaliny v inej kvapaline ",1,mlieko ,1,rôznorodá zmes práve troch kvapalín ,0,rovnorodá zmes rozpustenej  plynnej látky rozptýlenej v kvapaline ,0,zmes oleja a vody ,1,pleťové mlieko ,1
63,Vyberte správne tvrdenie o látkach:,hmotnosť je najdôležitejšou vlastnosťou látok ,0,vzhľad a hustotu považujeme za vlastnosti látok ,1,vlastnosti látky vždy závisia na množstve danej látky,0,chuť a vôňu nepovažujeme za vlastnosti látok ,0,vlastnosti látky spravidla závisia na množstve danej látky ,0,"látky môžu byť tuhé, kvapalné alebo plynné",1,chemicky čisté látky sa v prírode vyskytujú zriedka ,1,vlastnosti látky spravidla nezávisia na množstve danej látky ,1
64,Vyberte správne tvrdenie o separáčných metódach:,destilácia nie je separačnou metódou,0,lekárske vyšetrenie krvy a moču je príkladom filtrácie,0,na oddeľovanie zložiek zo zmesi využívame rozdielne chemické vlastnosti zložiek zmesi,0,destiláciou sa oddeľuje tuhá látka od kvapalnej na základe rôznej rozpustnosti,0,sedimentáciou sa oddeľujú látky na základe hustoty,1,na oddeľovanie zložiek zo zmesi využívame rozdielne fyzikálne vlastnosti zložiek zmesi,1,filtrácia a kryštalizácia patria medzi separačné metódy,1,podstatou destilácie je rozdielna teplota varu kvapalín,1
65,vyberte nesprávne tvrdenie:,aerosóly nepatria medzi koloidné roztoky,1,benzín vo vode je príkladom suspenzie ,1,pena je rôznorodá zmes nerozpustenej plynnej látky a kvapaliny,0,podľa veľkosti častíc rozdeľujeme zmesi na rovnorodé a rôznorodé,0,smog je príkladom aerosólu,0,dym a hmla sú príkladom peny,1,v rôznorodej zmesi nikdy nevieme rozlíšiť prevladajúcu zložku,1,hmla je zmes nerozpustenej kvapaliny jemne rozptýlenej v plyne,0
66,Vyberte nesprávne tvrdenie:,"ionizačná energia je energia potrebná na odtrhnutie valenčného elektrónu od atómu 
",0,"energia, ktorá sa uvoľní pri prijatí elektrónu atómom sa nazýva ionizačná energia",1,elektrónova afinita je energia potrebná na odtrhnutie valenčného elektrónu od atómu,1,"elektrónová afinita je energia, ktorá sa uvoľní pri prijatí elektrónu atómu",0,elektrónová afinita je vždy kladná a je vyjadrená v kJ,1,"prvky, ktoré ľahko tvoria katióny, majú vyššie hodnoty ionizačných energií",1,čím je hodnota ionizačnej energia nižšia tým je prvok reaktívnejší,0,"prvky, ktoré ľahko tvoria anióny, majú vyššie hodnoty elektrónovej afinity",0
67,Rozpustnosť látky v rozpúšťadle:,závisí aj od vlastností rozpúšťadla,1,"závisí od tlaku, ak je rozpúšťanou látkou plyn",1,dá sa vyjadriť graficky tzv. krivkou rozpustnosti,1,"závisí od objemu nádoby, v ktorej sa látka rozpúšťa ",0,je možné vyjadriť koncentráciou nasýteného rozotoku v mol.dm-3,1,s rastom teploty vždy rastie ,0,nezávisí od tlaku ,0,vždy závisí aj od tlaku ,0
68,Vyberte správne tvrdenie:,počet všetkých atómov v 1 móle plynného C02 je rovnaký ako počet atómov v 1 móle plynného 02,0,objem 1 mólu plynného C02 je zhodný s objemom 1 mólu plynného 02,1,počet molekúl v 1 móle plynného C02 sa rovná počtu jeho atómov v 1 móle ,0,objemy plynov 02 a CH4 sú rovnaké,0,objemy plynov 02 a CH4sú rovnaké pri tom istom tlaku,0,počet všetkých atómov v 1 móle plynného C02 je väčší ako počet atómov v 1 móle plynného O2,1,počet molekúl v 1 móle plynného 02 sa rovná počtu molekúl v 1 móle plynného HCl ,1,počet molekúl plynu v 1 móle nezávisí od tlaku ,1
69,O pravých roztokoch platí:,sú napr. roztoky KCl a FeCl2,1,obsahujú častice s veľkosťou 1O- 100 nm,0,patria do skupiny hrubodisperzných sústav,0,veľkosť rozpustených častíc je menšia  ako 1 nm,1,patria k nim roztoky bielkovín,0,patria k ním iba roztoky bielkovín krvnej plazmy ,0,veľkosť rozpustených častíc je menšia ako 1.10-9 m,1,roztoky silných elektrolytov patria medzi pravé roztoky,1
70,Pre hmotnostný zlomok w(A) látky A platí:,jednotkou je g.mol-1,0,w(A) < 1 ,1,vyjadrujeme ho ako pomer hmotnosti rozpustenej látky m(A) k celkovej hmotnosti roztoku mR,1,"hmotnostný zlomok je možné vyjadriť aj v percentách, ak w(A) vydelíme 100",0,hmotnostný zlomok látky može byť vačší ako 1,0,vypočítame ako pomer počtu mólov látky A k celkovému počtu mólov ,0,"čím je hmotnostný zlomok rozpustenej látky väčšie číslo, tým je roztok koncentrovanejší ",1,"hmotnostný zlomok je možné vyjadriť aj v percentách, ak w(A) vynásobíme 100",1
71,Pravý roztok nemôže nikdy obsahovať:,ióny nízkomolekulových látok ,0,jednotlivé atómy pevných látok ,0,molekuly škorbu ,1,rozpustené bielkoviny ,1,molekuly vody ,0,jednotlivé ióny pevných látok ,0,molekuly hemoglobínu ,1,molekuly prírodných plymérnych zlúčenín ,1
