id,question,answer1,isCorrect1,answer2,isCorrect2,answer3,isCorrect3,answer4,isCorrect4,answer5,isCorrect5,answer6,isCorrect6,answer7,isCorrect7,answer8,isCorrect8
11,Prokaryotická bunka:11,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
12,Prokaryotická bunka:12,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
13,Prokaryotická bunka:13,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
14,Prokaryotická bunka:14,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
15,Prokaryotická bunka:15,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
16,Prokaryotická bunka:16,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
17,Prokaryotická bunka:17,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
18,Prokaryotická bunka:18,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
19,Prokaryotická bunka:19,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
20,Prokaryotická bunka:20,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
21,Prokaryotická bunka:21,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
